Firm ID,Account ID,Product Type ,Currency,Effective Date,Maturity Date,Notional,Direction,Fixed Rate
string, string, string, string, date, date, float, string, float
TEST,1234,FRA,EUR,9/16/2018,12/16/2018,125000,R,0.05
TEST,1234,OIS,GBP,11/1/2018,7/1/2022,1000000,P,0.23
TEST,1234,FRA,USD,9/16/2018,12/16/2018,125000,R,0.05
TEST,1234,OIS,GBP,11/21/2018,7/22/2022,1000000,P,0.15
TEST,1234,FRA,USD,9/17/2018,12/17/2018,125000,R,0.05
TEST,1234,OIS,USD,11/21/2018,7/22/2023,1000000,P,0.22
TEST,1234,FRA,EUR,8/16/2018,11/16/2018,125000,R,0.05
TEST,1234,OIS,GBP,11/21/2018,7/22/2021,1000000,P,0.25
TEST,1234,FRA,EUR,9/16/2018,12/18/2018,125000,R,0.05
TEST,1234,OIS,GBP,11/21/2018,7/22/2026,1000000,P,0.35
